Resource A,Type A,Region A,Resource B,Type B,Region B,Relationship,Criticality,Migration Order,Potential Issues,Notes
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes (pre-signed PUT URL),Critical,2,Azure SDK replace boto3 presigned_url with Azure SAS token; BUCKET_NAME env var must be renamed BLOB_CONTAINER_NAME,Lambda generates S3 pre-signed PUT URL; client uploads directly to S3
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads (ListBucket + pre-signed GET URLs),Critical,2,azure-storage-blob list_blobs replaces boto3 list_objects_v2; generate_blob_sas replaces generate_presigned_url,Lambda lists all objects and returns pre-signed view URLs
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads (pre-signed GET URL),Critical,2,azure-storage-blob generate_blob_sas replaces boto3 generate_presigned_url,Lambda generates S3 pre-signed GET URL for a specific object
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes (DeleteObject),Critical,2,azure-storage-blob delete_blob replaces boto3 delete_object,Lambda deletes an object from S3
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,auth (assumes role),Critical,1,Azure Managed Identity replaces IAM role; no code change required for identity itself,Lambda assumes IAM role for S3 access
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,auth (assumes role),Critical,1,Azure Managed Identity replaces IAM role,Lambda assumes IAM role for S3 access
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,auth (assumes role),Critical,1,Azure Managed Identity replaces IAM role,Lambda assumes IAM role for S3 access
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,auth (assumes role),Critical,1,Azure Managed Identity replaces IAM role,Lambda assumes IAM role for S3 access
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,grants (s3:PutObject / GetObject / DeleteObject / ListBucket),Critical,1,Azure RBAC role assignment (Storage Blob Data Contributor) replaces inline S3 policy,IAM role grants Lambda read/write/delete/list on image bucket
4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,invokes (POST /upload),Critical,3,Azure APIM + HTTP trigger replaces AGW; auth changes from AWS SigV4 to Azure AD / API key / managed identity,API Gateway REST API invokes Lambda via AWS_PROXY integration
4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,invokes (GET /files),Critical,3,Azure APIM + HTTP trigger replaces AGW,API Gateway invokes Lambda
4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,invokes (GET /files/{fileId}/view-url),Critical,3,Azure APIM + HTTP trigger replaces AGW,API Gateway invokes Lambda
4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,invokes (DELETE /files/{fileId}),Critical,3,Azure APIM + HTTP trigger replaces AGW,API Gateway invokes Lambda
image-upload-api-user,IAM User,global,4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,auth (execute-api:Invoke via SigV4),High,3,Azure AD service principal / managed identity replaces IAM user + access key; eliminates long-lived secret,IAM user used by frontend to sign API calls (AWS SigV4). Access key embedded in stack output.
4lrh2l7i86 (image-upload-api),API Gateway,ap-southeast-2,image-upload-ApiGatewayCloudWatchLogsRole-YGFCwY9oRVqq,IAM Role,global,auth (push execution logs),Low,3,Azure APIM natively supports Azure Monitor / Application Insights – no separate role needed,API Gateway assumes CloudWatch logs role for execution logging
image-upload-ApiGatewayCloudWatchLogsRole-YGFCwY9oRVqq,IAM Role,global,API-Gateway-Execution-Logs_4lrh2l7i86/dev,CloudWatch Logs,ap-southeast-2,writes (execution logs),Low,3,Azure Monitor / App Insights replaces CloudWatch,API Gateway pushes execution logs to CloudWatch
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,/aws/lambda/image-upload-UploadFunction*,CloudWatch Logs,ap-southeast-2,writes (function logs),Medium,2,Azure Monitor / Application Insights replaces CloudWatch Logs,Lambda runtime pushes stdout/stderr to CloudWatch
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,/aws/lambda/image-upload-ListFilesFunction*,CloudWatch Logs,ap-southeast-2,writes (function logs),Medium,2,Azure Monitor / Application Insights replaces CloudWatch Logs,Lambda runtime pushes stdout/stderr to CloudWatch
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,/aws/lambda/image-upload-GetViewUrlFunction*,CloudWatch Logs,ap-southeast-2,writes (function logs),Medium,2,Azure Monitor / Application Insights replaces CloudWatch Logs,Lambda runtime pushes stdout/stderr to CloudWatch
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,/aws/lambda/image-upload-DeleteFileFunction*,CloudWatch Logs,ap-southeast-2,writes (function logs),Medium,2,Azure Monitor / Application Insights replaces CloudWatch Logs,Lambda runtime pushes stdout/stderr to CloudWatch
image-upload-websitebucket-vd866vxtcs1z,S3,ap-southeast-2,Browser (End Users),Client,N/A,serves (static HTML/JS),High,2,Azure Static Web Apps or Azure Blob Storage static website replaces S3 website hosting; index document is app.html not index.html,S3 bucket hosts the SPA frontend
image-upload (CloudFormation Stack),CloudFormation,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,manages (IaC ownership),High,1,Bicep / Terraform replaces CloudFormation template; 1:1 resource mapping available,Stack owns all application resources
image-upload (CloudFormation Stack),CloudFormation,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,manages (IaC ownership),High,1,Bicep template already drafted in workspace,Stack owns image storage bucket
image-upload (CloudFormation Stack),CloudFormation,ap-southeast-2,image-upload-websitebucket-vd866vxtcs1z,S3,ap-southeast-2,manages (IaC ownership),High,1,Azure Static Web Apps to replace S3 website bucket,Stack owns website bucket
