Resource A,Type A,Region A,Resource B,Type B,Region B,Relationship,Criticality,Migration Order,Potential Issues,Notes
image-upload-api-user,IAM User,global,image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,calls,Medium,5,SigV4 auth → must migrate to OAuth2/OIDC or APIM subscription key; frontend auth refactor required,Static website SPA uses long-lived IAM access key to sign API requests with AWS SigV4
image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,calls,High,4,Lambda proxy integration → Azure Functions HTTP trigger; AWS_IAM auth → Azure AD auth or APIM policy,POST /upload route; AWS_PROXY integration
image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,calls,High,4,Lambda proxy integration → Azure Functions HTTP trigger; AWS_IAM auth → Azure AD auth or APIM policy,GET /files route with optional query params (prefix/maxKeys)
image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,calls,High,4,Lambda proxy integration → Azure Functions HTTP trigger; AWS_IAM auth → Azure AD auth or APIM policy,GET /files/{fileId}/view-url route
image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,calls,High,4,Lambda proxy integration → Azure Functions HTTP trigger; AWS_IAM auth → Azure AD auth or APIM policy,DELETE /files/{fileId} route
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes,Critical,3,S3 presigned POST → Azure Blob SAS token (different signature + URL structure); x-amz-tagging header format differs,Generates presigned POST for direct client upload; stores metadata as x-amz-meta-* headers
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads,Critical,3,list_objects_v2 → listBlobs; head_object → getProperties; generate_presigned_url → generateSasUrl; get_object_tagging → getBlobTags,Reads object list + metadata + tags per object; generates presigned GET URL for each
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads,Critical,3,S3 presigned GET URL → Azure Blob SAS token; list_objects_v2 + head_object SDK calls need rewrite,Generates presigned GET URL for a single file by fileId prefix
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes,Critical,3,delete_object → deleteBlob; list_objects_v2 → listBlobs; boto3 S3 client uses s3v4 SigV4 + virtual hosting style,Deletes all S3 objects matching fileId/ prefix
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,authenticates,High,2,IAM role → Azure Managed Identity; S3Access inline policy → Azure RBAC role assignment (Storage Blob Data Contributor),Single shared role for all 4 Lambda functions
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,authenticates,High,2,IAM role → Azure Managed Identity; shared role across all functions — consider per-function identities in Azure,Shared execution role
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,authenticates,High,2,IAM role → Azure Managed Identity,Shared execution role
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,authenticates,High,2,IAM role → Azure Managed Identity,Shared execution role
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,/aws/lambda/image-upload-UploadFunction-iIIJ7xiZECuB,CloudWatch Logs,ap-southeast-2,writes,Low,5,CloudWatch Logs → Azure Monitor Log Analytics; no retention policy set (migrate to 30-day minimum),Lambda execution logs
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,/aws/lambda/image-upload-ListFilesFunction-Pb0dKq9dR0Is,CloudWatch Logs,ap-southeast-2,writes,Low,5,CloudWatch Logs → Azure Monitor Log Analytics; no retention policy set,Lambda execution logs
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,/aws/lambda/image-upload-GetViewUrlFunction-yMGI9X8Us5Em,CloudWatch Logs,ap-southeast-2,writes,Low,5,CloudWatch Logs → Azure Monitor Log Analytics; no retention policy set,Lambda execution logs
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,/aws/lambda/image-upload-DeleteFileFunction-EG7Cfj3m2P6f,CloudWatch Logs,ap-southeast-2,writes,Low,5,CloudWatch Logs → Azure Monitor Log Analytics; no retention policy set,Lambda execution logs
image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,API-Gateway-Execution-Logs_4lrh2l7i86/dev,CloudWatch Logs,ap-southeast-2,writes,Low,5,API GW execution logs → Azure Monitor / APIM diagnostics; DataTraceEnabled=true logs full request/response,Execution logs for all routes at INFO level
image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,X-Ray,X-Ray Tracing,ap-southeast-2,depends-on,Low,5,X-Ray → Azure Application Insights distributed tracing; Lambda PassThrough means incomplete traces today,TracingEnabled=true on stage but Lambda is PassThrough
WebsiteBucket (image-upload-websitebucket-vd866vxtcs1z),S3 Static Website,ap-southeast-2,image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,calls,Medium,4,S3 static website → Azure Static Web Apps or Azure Blob static website + CDN; CORS rules needed on new host,Frontend SPA calls API Gateway with SigV4-signed requests using IAM user credentials
CloudFormation Stack (image-upload),CloudFormation,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,depends-on,Critical,1,CloudFormation → Bicep IaC; stack exports consumed by dependent resources,Manages ImageBucket resource
CloudFormation Stack (image-upload),CloudFormation,ap-southeast-2,image-upload-websitebucket-vd866vxtcs1z,S3,ap-southeast-2,depends-on,Medium,1,CloudFormation → Bicep IaC,Manages WebsiteBucket resource
CloudFormation Stack (image-upload),CloudFormation,ap-southeast-2,image-upload-api (4lrh2l7i86),API Gateway,ap-southeast-2,depends-on,High,1,CloudFormation → Bicep IaC; stack exports the API URL,Manages API Gateway and all routes/methods/stages
CloudFormation Stack (image-upload),CloudFormation,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,global,depends-on,High,1,CloudFormation → Bicep IaC; IAM role → Managed Identity + RBAC,Manages Lambda execution role
