Resource A,Type A,Region A,Resource B,Type B,Region B,Relationship,Criticality,Migration Order,Potential Issues,Notes
image-upload-api,API Gateway REST,ap-southeast-2,image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,calls,Critical,3,APIM policy rewrite for AWS_IAM auth,POST /upload integration
image-upload-api,API Gateway REST,ap-southeast-2,image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,calls,Critical,3,APIM policy rewrite for AWS_IAM auth,GET /files integration
image-upload-api,API Gateway REST,ap-southeast-2,image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,calls,High,3,APIM policy rewrite for AWS_IAM auth,GET /files/{id}/view-url integration
image-upload-api,API Gateway REST,ap-southeast-2,image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,calls,High,3,APIM policy rewrite for AWS_IAM auth,DELETE /files/{id} integration
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes,Critical,2,SAS token vs presigned URL; CORS config,Generates presigned POST for client upload
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads,Critical,2,SAS token vs presigned URL; metadata model,list_objects_v2 + head_object + presigned GET
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,reads,High,2,SAS token vs presigned URL,generate_presigned_url for view
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,writes,High,2,Blob delete API differs from S3 delete_objects,delete_objects by prefix
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,ap-southeast-2,authenticates,High,1,Map to Azure Managed Identity,Lambda execution role
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,ap-southeast-2,authenticates,High,1,Map to Azure Managed Identity,Lambda execution role
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,ap-southeast-2,authenticates,Medium,1,Map to Azure Managed Identity,Lambda execution role
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,ap-southeast-2,authenticates,High,1,Map to Azure Managed Identity,Lambda execution role
image-upload-api,API Gateway REST,ap-southeast-2,image-upload-ApiGatewayCloudWatchLogsRole-YGFCwY9oRVqq,IAM Role,ap-southeast-2,authenticates,Low,1,Azure APIM uses Diagnostic Settings natively,API Gateway CloudWatch logging role
image-upload-UploadFunction-iIIJ7xiZECuB,Lambda,ap-southeast-2,/aws/lambda/image-upload-UploadFunction-iIIJ7xiZECuB,CloudWatch Logs,ap-southeast-2,writes,Low,4,No retention policy; set Azure Log Analytics retention,Lambda log group
image-upload-ListFilesFunction-Pb0dKq9dR0Is,Lambda,ap-southeast-2,/aws/lambda/image-upload-ListFilesFunction-Pb0dKq9dR0Is,CloudWatch Logs,ap-southeast-2,writes,Low,4,No retention policy; set Azure Log Analytics retention,Lambda log group
image-upload-GetViewUrlFunction-yMGI9X8Us5Em,Lambda,ap-southeast-2,/aws/lambda/image-upload-GetViewUrlFunction-yMGI9X8Us5Em,CloudWatch Logs,ap-southeast-2,writes,Low,4,No retention policy; set Azure Log Analytics retention,Lambda log group
image-upload-DeleteFileFunction-EG7Cfj3m2P6f,Lambda,ap-southeast-2,/aws/lambda/image-upload-DeleteFileFunction-EG7Cfj3m2P6f,CloudWatch Logs,ap-southeast-2,writes,Low,4,No retention policy; set Azure Log Analytics retention,Lambda log group
image-upload-api,API Gateway REST,ap-southeast-2,API-Gateway-Execution-Logs_4lrh2l7i86/dev,CloudWatch Logs,ap-southeast-2,writes,Low,4,No retention policy; use Azure APIM Diagnostic Settings,API GW access logs
image-upload-api-user,IAM User,ap-southeast-2,image-upload-api,API Gateway REST,ap-southeast-2,authenticates,High,3,Replace SigV4 client auth with Azure AD / AAD B2C,Client-side SigV4 signing — security risk
image-upload-websitebucket-vd866vxtcs1z,S3 Static Website,ap-southeast-2,image-upload-api,API Gateway REST,ap-southeast-2,depends-on,High,3,CORS origins must match new Azure endpoint,Frontend JS calls API via SigV4
Browser,End User,ap-southeast-2,image-upload-websitebucket-vd866vxtcs1z,S3 Static Website,ap-southeast-2,reads,High,2,Map to Azure Static Web Apps,Serves app.html frontend
image-upload-LambdaExecutionRole-2MhYmRQ3aAnA,IAM Role,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,authenticates,Critical,1,Replace with Azure Managed Identity + RBAC on Storage,S3 object-level permissions
image-upload-stack,CloudFormation,ap-southeast-2,image-upload-api,API Gateway REST,ap-southeast-2,depends-on,High,1,Re-implement in Bicep/Terraform,IaC stack management
image-upload-stack,CloudFormation,ap-southeast-2,image-upload-imagebucket-t8isnbr8sswv,S3,ap-southeast-2,depends-on,Critical,1,Re-implement in Bicep/Terraform,IaC stack management
